# PSRJ;RAJ;err_RAJ;DECJ;err_DECJ;F0;err_F0;F1;err_F1;F2;err_F2;N_ToA;T;Flags
# ;h:m:s;0.0;d:m:s;0.0;Hz;0.0;1E-15 s^-2;0.0;1E-24 s^-3;0.0;0.0;yr;
J0907-5157;09:07:15.901;(3);-51:57:59.36;(2);3.9438751026;(+7,-5);-28.5412;(3);0.0;(+0.87,-0.12);121;3.5;
J0908-1739;09:08:38.227;(4);-17:39:39.9;(1);2.48987780015;(4);-4.1492;(2);0.0;(+0.27,-0.98);37;3.16;
J0908-4913;09:08:35.46;(1);-49:13:05.00;(1);9.36601123448;(6);-1324.821;(+3,-4);4;(+1.3,-1.5);173;3.48;
J0909-7212;09:09:35.81;(3);-72:12:08.94;(1);0.733734742115;(4);-0.1762;(2);0.0;(+0.15,-0.41);31;3.15;
J0922+0638;09:22:13.85;(3);+06:38:19;(1);2.32217901642;(3);-73.985;(1);0.0;(+2.5,-9.6);68;3.02;
J0924-5302;09:24:08.722;(4);-53:02:42.6;(3);1.33987540461;(2);-63.431;(+1,-9);0.0;(+3.9,-4.1);137;3.2;
J0924-5814;09:24:30.82;(1);-58:14:05.10;(1);1.35225504146;(+4,-3);-9.0013;(2);0.0;(+0.48,-0.28);72;3.39;
J0934-5249;09:34:28.237;(5);-52:49:27.30;(5);0.692148271001;(+1,-8);-2.22898;(3);0.0;(+0.07,-0.14);152;3.16;
J0942-5552;09:42:14.88;(6);-55:52:55.1;(5);1.50514304056;(3);-51.376;(2);8;(+4.1,-4.3);150;3.69;
J0942-5657;09:42:54.422;(5);-56:57:43.21;(3);1.23737204376;(4);-60.6357;(2);0.0;(+0.37,-0.09);90;3.18;
J0944-1354;09:44:28.967;(1);-13:54:41.88;(2);1.75357327379;(+5,-7);-0.13929;(2);0.0;(+0.069,-0.118);61;3.11;
J0953+0755;09:53:09.3121;(2);+07:55:36.9;(1);3.95154788907;(+9,-8);-3.58768;(3);0.0;(+0.021,-0.07);73;3.71;
J0955-5304;09:55:29.461;(1);-53:04:16.64;(1);1.15992862694;(4);-4.74318;(1);0.0;(+0.16,-0.078);155;3.26;
J0959-4809;09:59:26.212;(6);-48:09:47.47;(7);1.49234604;(+5,-4);-0.1887;(+1,-9);0.0;(+0.49,-0.27);78;3.37;
J1001-5507;10:01:37.85;(5);-55:07:07.8;(5);0.696073036122;(+9,-1);-24.9925;(+7,-6);1;(+0.8,-1.6);138;3.7;
J1003-4747;10:03:21.529;(1);-47:47:01.190;(2);3.25654170022;(3);-21.96544;(+9,-6);0.0;(+0.29,-0.36);69;3.13;
J1012-5857;10:12:48.470;(5);-58:57:48.50;(3);1.21962189426;(1);-26.47184;(4);0.0;(+0.05,-0.23);193;3.71;
J1013-5934;10:13:31.848;(2);-59:34:26.63;(1);2.25784124141;(1);-2.83682;(+3,-4);0.0;(+0.12,-0.18);132;3.43;
J1016-5345;10:16:31.135;(4);-53:45:14.26;(3);1.29940016176;(2);-3.25316;(+6,-4);0.0;(+0.24,-0.8);102;3.14;
J1017-5621;10:17:12.831;(1);-56:21:30.517;(7);1.98624477638;(5);-12.38704;(2);0.0;(+0.2,-0.052);127;3.17;B
J1017-7156;10:17:51.3172;(5);-71:56:41.596;(2);427.621905026;(2);-0.415;(+1,-8);0.0;(+10.3,-5.6);51;3.38;B
J1022+1001;10:22:58.3;(1);+10:01:58;(5);60.7794479207;(+6,-9);-0.1564;(3);0.0;(+0.36,-0.52);39;3.43;PPTA
J1032-5911;10:32:04.876;(1);-59:11:54.8;(1);2.15418526489;(+2,-3);-8.3414;(5);0.0;(+4.9,-0.4);152;2.51;
J1034-3224;10:34:19.46;(1);-32:24:26.2;(2);0.869118880561;(+3,-2);-0.17372;(1);0.0;(+0.14,-0.14);41;3.74;
J1036-4926;10:36:13.121;(7);-49:26:21.2;(1);1.95936510762;(1);-6.3385;(3);0.0;(+6.1,-7.5);30;2.36;
J1041-1942;10:41:36.191;(9);-19:42:13.7;(2);0.721308789858;(+2,-3);-0.4925;(1);0.0;(+0.12,-0.13);34;3.41;
J1042-5521;10:42:00.4853;(9);-55:21:05.793;(6);0.854067790376;(2);-4.89999;(+6,-5);0.0;(+0.24,-0.14);101;3.36;
J1043-6116;10:43:55.222;(8);-61:16:51.29;(8);3.46491578971;(+8,-7);-124.947;(2);0.0;(+77.6,-108.0);78;1.47;
J1045-4509;10:45:50.1794;(5);-45:09:54.106;(6);133.79314947;(2);-0.3153;(+8,-6);0.0;(+2.0,-1.0);38;3.31;PPTA, B
J1046-5813;10:46:18.815;(2);-58:13:51.89;(2);2.70688676045;(1);-8.4;(+4,-3);0.0;(+0.48,-0.5);193;3.25;
J1047-6709;10:47:28.285;(5);-67:09:51.61;(4);5.0389844311;(1);-42.8418;(+4,-3);0.0;(+0.9,-1.2);39;2.43;
J1048-5832;10:48:13.1;(1);-58:32:03;(1);8.0824185121;(+4,-5);-6273.49;(+2,-3);90;(+41.8,-51.2);232;3.44;
J1056-6258;10:56:25.53;(1);-62:58:47.7;(1);2.36714106203;(1);-20.057;(+8,-7);0.0;(+0.9,-1.0);198;3.69;
J1057-5226;10:57:59.068;(8);-52:26:56.10;(8);5.0731886204;(+2,-3);-150.205;(+2,-1);0.0;(+0.1,-5.6);126;2.62;
J1057-7914;10:57:27.7;(1);-79:14:23.6;(3);0.74216802567;(+8,-7);-0.7321;(+4,-3);0.0;(+1.4,-0.8);41;2.84;
J1059-5742;10:59:00.8886;(4);-57:42:14.55;(3);0.843879990895;(+1,-8);-3.0668;(3);0.0;(+0.08,-0.31);178;3.18;
J1105-6107;11:05:26.2;(1);-61:07:48.0;(8);15.8222513283;(+4,-3);-3966.97;(1);0.0;(+6.0,-31.4);145;2.85;
J1110-5637;11:10:00.3712;(6);-56:37:32.57;(4);1.79129810299;(+1,-2);-6.6125;(+8,-4);0.0;(+1.8,-0.2);130;3.17;
J1112-6613;11:12:38.414;(4);-66:13:04.663;(2);2.9920963178;(+5,-3);-7.385;(+1,-2);0.0;(+0.1,-1.6);96;2.93;
J1112-6926;11:12:50.78;(1);-69:26:32.33;(6);1.21878739947;(+4,-3);-4.1912;(1);0.0;(+0.52,-0.6);97;3.22;
J1114-6100;11:14:22.69;(5);-61:00:32.1;(3);1.13525643826;(2);-59.3019;(+6,-5);0.0;(+4.8,-4.2);137;2.45;
J1116-4122;11:16:43.083;(4);-41:22:44.86;(8);1.06026074416;(+2,-3);-8.955;(1);0.0;(+0.04,-0.27);47;3.53;
J1121-5444;11:21:19.23;(1);-54:44:04.90;(1);1.86641502454;(2);-9.7309;(+7,-8);0.0;(+2.2,-3.8);117;2.98;
J1123-6259;11:23:55.53;(1);-62:59:10.92;(8);3.68409189328;(1);-71.2863;(+3,-4);0.0;(+5.3,-6.1);70;2.99;
J1126-6942;11:26:21.66;(4);-69:42:15.8;(1);1.72586751278;(+3,-2);-9.8111;(+9,-1);-0.69;(+6,-2);34;2.06;
J1133-6250;11:33:51.3;(1);-62:50:51;(1);0.9776360471;(+6,-4);-0.448;(+9,-1);0.0;(+132.0,-20.1);128;1.22;
J1136+1551;11:36:03.0946;(5);+15:51:15.9;(1);0.841809871701;(+6,-2);-2.64185;(+9,-3);0.0;(+0.34,-0.09);36;3.63;
J1136-5525;11:36:02.2354;(5);-55:25:06.843;(5);2.74188009799;(+1,-2);-61.8;(+1,-8);0.0;(+0.6,-3.7);147;3.53;
J1141-3322;11:41:42.756;(2);-33:22:37.31;(5);3.43091071248;(3);-5.4774;(1);0.0;(+0.24,-0.14);51;3.13;
J1141-6545;11:41:07.0006;(6);-65:45:19.05;(3);2.53871590079;(+6,-7);-27.7621;(4);0.48;(+7,-3);273;3.55;B
J1146-6030;11:46:07.7152;(1);-60:30:59.622;(9);3.65798554138;(1);-23.93026;(4);0.0;(+0.53,-0.3);169;3.35;
J1157-6224;11:57:15.208;(7);-62:24:50.90;(5);2.49671858326;(+9,-7);-24.5068;(+4,-5);0.0;(+0.9,-0.63);229;3.55;
J1202-5820;12:02:28.358;(6);-58:20:33.41;(5);2.20846545731;(+7,-6);-10.3828;(3);0.0;(+0.95,-0.6);134;3.51;
J1210-5559;12:10:05.98706;(2);-55:59:03.8501;(2);3.57439188715;(5);-9.26691;(+2,-3);0.0;(+0.032,-0.003);158;3.51;
J1224-6407;12:24:22.264;(2);-64:07:53.79;(1);4.61934676092;(+4,-5);-105.6992;(+3,-2);0.0;(+0.09,-0.92);367;3.55;
J1231-6303;12:31:13.0;(1);-63:03:18;(1);0.74006295676;(3);-0.0723;(+8,-7);0.0;(+2.4,-0.8);79;3.38;
J1239-6832;12:39:58.96;(2);-68:32:28.94;(9);0.768094857398;(2);-7.01054;(+7,-8);0.0;(+1.1,-0.9);60;3.15;
J1243-6423;12:43:17.120;(6);-64:23:23.92;(4);2.57410111798;(5);-29.8026;(3);0.0;(+0.0,-0.49);345;3.63;
J1253-5820;12:53:28.418;(2);-58:20:40.47;(2);3.91392670035;(7);-32.2492;(3);0.0;(+1.24,-0.01);204;3.38;
J1257-1027;12:57:04.7796;(9);-10:27:04.77;(3);1.61993710136;(+2,-1);-0.94879;(4);0.0;(+0.27,-0.39);39;3.18;
J1259-6741;12:59:22.64;(1);-67:41:40.27;(6);1.5075450023;(+5,-4);-1.9434;(1);0.0;(+0.8,-1.6);42;2.54;
J1305-6455;13:05:23.47;(2);-64:55:28.5;(1);1.74931666048;(+1,-2);-12.3373;(+9,-8);0.0;(+1.2,-2.7);175;3.47;
J1306-6617;13:06:38.12;(1);-66:17:21.2;(1);2.11404065516;(2);-26.7181;(9);0.0;(+1.41,-0.41);125;3.38;
J1312-5402;13:12:04.708;(2);-54:02:42.5;(2);1.37333511678;(+4,-5);-0.2765;(+2,-1);0.0;(+0.7,-1.03);36;3.18;
J1312-5516;13:12:53.533;(9);-55:16:47.3;(1);1.1775198318;(3);-7.9101;(1);0.0;(+0.3,-0.99);98;3.07;
J1319-6056;13:19:20.250;(7);-60:56:46.79;(6);3.51675963943;(+2,-9);-18.8878;(+3,-7);0.0;(+0.87,-0.14);199;3.19;
J1320-5359;13:20:53.932;(2);-53:59:04.967;(3);3.57477758551;(6);-118.146;(3);0.36;(+1,-3);129;3.5;
J1326-5859;13:26:58.219;(7);-58:59:29.29;(7);2.09207813232;(+7,-8);-14.2359;(+5,-4);0.0;(+1.4,-1.0);306;3.63;
J1326-6408;13:26:32.433;(2);-64:08:43.80;(1);1.26155286486;(+9,-6);-4.91831;(2);0.0;(+0.122,-0.15);161;2.85;
J1326-6700;13:26:02.706;(4);-67:00:50.1;(3);1.84156958655;(+4,-3);-18.037;(2);0.0;(+1.3,-4.2);132;3.54;
J1327-6222;13:27:17.36;(7);-62:22:44.7;(5);1.8870445541;(+4,-3);-66.926;(2);2.37;(+7,-5);308;3.63;
J1327-6301;13:27:07.4320;(3);-63:01:15.51;(2);5.08957797539;(4);-39.6313;(1);0.0;(+0.49,-0.29);238;3.41;
J1328-4357;13:28:06.4198;(5);-43:57:44.50;(8);1.87722052793;(7);-10.7557;(+4,-3);0.292;93;2.99;
J1338-6204;13:38:09.247;(7);-62:04:18.7;(5);0.80710212469;(2);-8.9837;(+6,-5);0.0;(+2.9,-4.5);198;2.47;
J1350-5115;13:50:16.159;(2);-51:15:24.56;(3);3.38180924275;(+8,-6);-8.6634;(+2,-1);0.0;(+4.0,-5.1);95;2.43;
J1355-5153;13:55:58.692;(2);-51:53:53.95;(2);1.55206115637;(3);-6.7736;(1);0.0;(+0.26,-0.23);123;3.19;
J1356-5521;13:56:50.49;(2);-55:21:15.2;(2);1.97090897627;(2);-2.8152;(+5,-4);0.0;(+14.3,-9.1);31;2.39;
J1359-6038;13:59:58.230;(9);-60:38:07.671;(7);7.84261649234;(2);-389.488;(1);-3;(+3.3,-1.1);429;3.54;
J1401-6357;14:01:52.45;(1);-63:57:42.0;(1);1.18651362793;(+8,-1);-23.6871;(+5,-4);0.0;(+0.4,-1.3);245;3.56;
J1413-6307;14:13:31.32;(4);-63:07:34.6;(3);2.5319550816;(1);-47.9;(+4,-3);-4;(+3.3,-11.1);152;2.43;
J1418-3921;14:18:50.28;(1);-39:21:18.6;(2);0.911737714389;(+2,-3);-0.73841;(+8,-6);0.0;(+0.42,-0.39);57;3.63;
J1420-5416;14:20:29.11;(1);-54:16:22.7;(1);1.06863614348;(2);-0.26515;(+6,-7);0.0;(+0.22,-0.3);74;3.08;
J1424-5822;14:24:32.130;(8);-58:22:55.7;(1);2.7267557238;(+1,-9);-29.262;(2);0.0;(+120.5,-91.9);188;1.25;
